CompanyNm,サンテラス株式会社,サンテラス株式会社,サンテラス株式会社,サンテラス株式会社,島根県農業協同組合,島根県農業協同組合,島根県農業協同組合,島根県農業協同組合,新和観光株式会社,新和観光株式会社,新和観光株式会社,新和観光株式会社,東京シティ・エアターミナル株式会社,東京シティ・エアターミナル株式会社,東京シティ・エアターミナル株式会社,東京シティ・エアターミナル株式会社,株式会社ぱぱす,株式会社ぱぱす,株式会社ぱぱす,株式会社ぱぱす,株式会社ぱぱす,株式会社ウィズハート,株式会社ウィズハート,株式会社ウィズハート,株式会社ウィズハート,株式会社ココカラファインヘルスケア,株式会社ココカラファインヘルスケア,株式会社ココカラファインヘルスケア,株式会社ココカラファインヘルスケア,株式会社ココカラファインヘルスケア,株式会社サンエー,株式会社サンエー,株式会社サンエー,株式会社サンエー,株式会社フード福井,株式会社フード福井,株式会社フード福井,株式会社フード福井,株式会社マツモトキヨシ,株式会社マツモトキヨシ,株式会社マツモトキヨシ,株式会社マツモトキヨシ,株式会社マツモトキヨシ,株式会社マツモトキヨシ中四国販売,株式会社マツモトキヨシ中四国販売,株式会社マツモトキヨシ中四国販売,株式会社マツモトキヨシ中四国販売,株式会社マツモトキヨシ中四国販売,株式会社マツモトキヨシ九州販売,株式会社マツモトキヨシ九州販売,株式会社マツモトキヨシ九州販売,株式会社マツモトキヨシ九州販売,株式会社マツモトキヨシ東日本販売,株式会社マツモトキヨシ東日本販売,株式会社マツモトキヨシ東日本販売,株式会社マツモトキヨシ東日本販売,株式会社マツモトキヨシ東日本販売,株式会社マツモトキヨシ甲信越販売,株式会社マツモトキヨシ甲信越販売,株式会社マツモトキヨシ甲信越販売,株式会社マツモトキヨシ甲信越販売,株式会社マツモトキヨシ甲信越販売,株式会社ヤスイ,株式会社ヤスイ,株式会社ヤスイ,株式会社ヤスイ,株式会社京急ストア,株式会社京急ストア,株式会社京急ストア,株式会社京急ストア,株式会社京成ストア,株式会社京成ストア,株式会社京成ストア,株式会社京成ストア,株式会社京王ストア,株式会社京王ストア,株式会社京王ストア,株式会社京王ストア,株式会社東急ストア,株式会社東急ストア,株式会社東急ストア,株式会社東急ストア,株式会社遠鉄ストア,株式会社遠鉄ストア,株式会社遠鉄ストア,株式会社遠鉄ストア,株式会社遠鉄ストア（調剤ＳＰ）,株式会社遠鉄ストア（調剤ＳＰ）,株式会社遠鉄ストア（調剤ＳＰ）,株式会社遠鉄ストア（調剤ＳＰＡ）,株式会社遠鉄ストア（調剤ＳＰＡ）,株式会社ＣＦＩＺ,株式会社ＣＦＩＺ,株式会社ＣＦＩＺ,株式会社ＣＦＩＺ
KaishaBumonNm,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,調剤,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,調剤,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,調剤,食品,化粧品,医薬品,日用品,調剤,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,調剤,食品,化粧品,医薬品,日用品,調剤,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,食品,化粧品,医薬品,日用品,医薬品,日用品,化粧品,医薬品,日用品,食品
DateCd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1000.0,4000.0,2000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1000.0,4000.0,2000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
20240711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
20240714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
20240715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
20240716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
